image_path,caption,upper_garment,lower_garment,outerwear,footwear,colors,accessories,scene,style
003d41dd20f271d27219fe7ee6de727d.jpg,a model walks the runway at the fashion show,,,,,,,runway,
0046f98599f05fd7233973e430d6d04d.jpg,a model walks down the runway,,,,,,,runway,
004e9e21cd1aca568a8ffc77a54638ce.jpg,a model in a red skirt and white shirt,shirt,skirt,,,"red, white",,,
005b37fce3c0f641d327d95dd832f51b.jpg,a woman in a white shirt and blue pants stands against an orange background,shirt,pants,,,"white, blue, orange",,,
0094940c58c343b742f48ae26eb5e9fa.jpg,a woman in a red dress walks down the runway,,,,,red,,runway,
0099bc6cd3b8c47c2d21a2877b1fa533.jpg,a woman standing in front of a door,,,,,,,,
009b107156c1ee41b03c5b35a82e7232.jpg,a woman sitting in a chair with her legs crossed,,,,,,,,
00a1940434d687a785be0acf2b0fbff3.jpg,a woman walking down a runway wearing a jacket and skirt,,skirt,jacket,,,,runway,
00a325fd4dc22079095ab46330abf7be.jpg,a model walks the runway at the fashion show,,,,,,,runway,
00a8764cff12b2e849c850f4be5608bc.jpg,a model walks the runway in a black coat and skirt,,skirt,coat,,black,,runway,
00d5da56c02d426c4e4bf802b1888471.jpg,a woman in a brown dress is leaning on a fence,,,,,brown,,,
00d6e5891b7507fccbd49f2c2756b114.jpg,a woman walking down the runway in a pink dress,,,,,pink,,runway,
00e45dd233e31906f538ba17dd45bf29.jpg,a woman in a pink dress leaning against a wall,,,,,pink,,,
00f1db534538841931f15f2bb5cec76c.jpg,a woman in a black dress and sunglasses walks down the runway,,,,,black,sunglasses,runway,
00faa1032cc0809974a8d2dd7b018497.jpg,a woman in a pink dress standing next to a wall,,,,,pink,,,
010cf2ab96d1d730e15c76720af0e1a6.jpg,a woman in a dress walking down the runway,,,,,,,runway,
011ccdc0d82e359420e5b578740d7971.jpg,a model walks the runway at the person show,,,,,,,runway,
0146a53e12d690914995248fb6872121.jpg,a young boy in a black shirt and brown pants,shirt,pants,,,"black, brown",,,
014c44b97f844dffda594b9e00a4b3fd.jpg,a woman in a white jacket and black jeans standing on a concrete wall,,jeans,jacket,,"white, black",,,
014eadcd4cf28a669232d4b6470e4e01.jpg,a woman wearing a red and green plaid cape,,,,,"red, green",,,
01590a6ba1c54b8addb3c6f876c53a2e.jpg,a woman standing in front of a tent at an outdoor market,,,,,,,outdoor,
016247873d36ee0ea830a3827107d52c.jpg,a woman wearing a black leather jacket and black tights,,,jacket,,black,,,
017feefa35d1e5a8d27d3b93a6d96d15.jpg,a woman walking down the runway wearing a plaid shirt and pencil skirt,shirt,skirt,,,,,runway,
019ec2bcca4c8aa6381ae3661f5959ef.jpg,a woman in a colorful dress standing on rocks,,,,,,,,
01a64310ea9205193295869fcae93f90.jpg,a woman in a red dress walking down the runway,,,,,red,,runway,
01ba45ca87225b17fef4abda0bd329e9.jpg,a model walks down the runway,,,,,,,runway,
01bb382de271571e209dd10cc220c7bc.jpg,a woman in a black shirt and denim shorts,shirt,shorts,,,black,,,
01c4698117bd9b3f99bc751da8dfd96c.jpg,a model walks the runway at the fashion show,,,,,,,runway,
01c6f5ce934d00d6923c549671c36000.jpg,person in a black leather jacket,,,jacket,,black,,,
01cb7fbd4a2d2c5b9aebfcd3c25c74e9.jpg,a woman sitting on a bench in the snow,,,,,,,,
01d0251b5bc5a41f93c86042c56258d3.jpg,a woman in shorts standing on the side of a road,,shorts,,,,,,
0205895cfbb5348d94fda8ce32272fa5.jpg,a woman sitting on top of a white couch,,,,,white,,,
0214748c08592468d953769e712b9d9f.jpg,a woman in a red dress walking down the runway,,,,,red,,runway,
02147618f9a3ea98605fa68f9179c7a0.jpg,a woman walking down the street in a black coat,,,coat,,black,,street,
02182c58daf61dc5c5c64bb112b1f826.jpg,a model walks on the ramp at a fashion show,,,,,,,,
0229bef01efc25f915374d55f59cbfdd.jpg,a young man standing in front of a glass wall,,,,,,,,
0231c9645ffeeef22e6f8d769cbfcb13.jpg,a woman in a black dress standing on a brick street,,,,,black,,street,
025c44ff30ea619abd1b1bb2df58bb8b.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
025ee977bba7d2d1420984745d8232f7.jpg,a model walks the runway at the fashion show,,,,,,,runway,
027e76835ebc810fdcc0e54b146e8fc3.jpg,a woman in a black coat and hat standing on a stage,,,coat,,black,hat,stage,
02916664cd606bb5486353f200a475a3.jpg,a woman standing in front of a book shelf,,,,,,,,
02b4423e161fa2409974174ec53cdb2a.jpg,a model walks down the runway,,,,,,,runway,
02c29fa40b5c3802312e065f1f52cc80.jpg,a woman in a red and white dress walks down the runway,,,,,"red, white",,runway,
02ddd4192bc9a5823be4312824814279.jpg,a model walks the runway at the fashion show,,,,,,,runway,
02f4eb537b152293cf69938553518677.jpg,a model in a purple dress and black tights,,,,,"purple, black",,,
0301f50a3cd73f13cd9e1125d8ef38bd.jpg,a woman in a green shirt and white skirt,shirt,skirt,,,"green, white",,,
0309e132bc5fbc75f977005b2d4a79e3.jpg,a model walks the runway at the fashion show,,,,,,,runway,
030cfd158b49ff622c71bdf9aa30f39a.jpg,a woman standing in front of a wooden wall,,,,,,,,
032590f9400693dc8cc6005f4b8dcaa9.jpg,a woman in a gray jacket and black pants,,pants,jacket,,"gray, black",,,
03272452a2491dbed76a28035e195d32.jpg,a man walking down the street in a gray shirt and black pants,shirt,pants,,,"gray, black",,street,
032e7b9f985406a0b76a0d1164e3050c.jpg,a woman walking down the street carrying a brown bag,,,,,brown,,street,
03410de826f6272f67a3549186d82c4e.jpg,a woman in a white dress sitting on a wall,,,,,white,,,
0349e23c22d9ab9a482ac3d38ec315d5.jpg,a woman in a black and white dress walking down the runway,,,,,"black, white",,runway,
03549b86fb916d9fc725d816c94d0a3c.jpg,a woman in a white dress walking down the runway,,,,,white,,runway,
035b280e6bfd861226dbd2d1c8f89873.jpg,a woman in a gray coat and hat walks down the street,,,coat,,gray,hat,street,
0373fa1af9637930d36bddae6e620b6c.jpg,a woman in a black shirt and leather pants walks down the runway,shirt,pants,,,black,,runway,
0374a968b65e5cdf513bd9e20af71874.jpg,a woman with long blonde hair standing in front of a wall,,,,,,,,
0376447616a44894318f342c004da244.jpg,a woman in a dress and sunglasses walking down the street,,,,,,sunglasses,street,
037bb8903e05afa1af566af09e2122ea.jpg,a woman in a black leather jacket and white pants walks down the runway,,pants,jacket,,"black, white",,runway,
0388345fc60c336a3fe94085490776e7.jpg,a woman standing in front of a painting,,,,,,,,
03940cb6fdf45a4844dacf11367a7ff6.jpg,person in a hot pink dress,,,,,pink,,,
039a4d7431ddd3a3aa8e7c11b870897c.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
03bce314fb43dbf88fa378f170cccc0b.jpg,a model walks the runway at the fashion show,,,,,,,runway,
03c846b699a15a82eb5ed75c61b6e95f.jpg,a model walks the runway at the fashion show,,,,,,,runway,
03e74d876f65ddd114ae4809618ca710.jpg,a young girl in a dress walking down the street,,,,,,,street,
03e85172b71bb7c69b4cba22ebb34063.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
03fc99c4deaf14724ef6277dec16b8e8.jpg,a woman in a white dress and black jacket,,,jacket,,"white, black",,,
04031384f4918c7176a1b20ea2537140.jpg,a model walks the runway at the show,,,,,,,runway,
041a6b43ed7ddfa1ec6040d27e5ce9a8.jpg,a girl in a hat leaning against a wall,,,,,,hat,,
0420c7e0454fbbe11fadd23eb1f40d38.jpg,a woman standing in front of a white fence,,,,,white,,,
0434751e2f4ecc0fc5ca600f3ac680bc.jpg,a woman in a black dress is standing on the sidewalk,,,,,black,,,
045db5fc067cb10b5d705c2afefa5966.jpg,a woman riding a skateboard down the street,,,,,,,street,
0483fc73ee89d2e8c4b63aeb3af0542c.jpg,a woman wearing a black and white floral dress,,,,,"black, white",,,
04ae4fab477d24611f461c8f7ed4fb3d.jpg,person in a black and blue dress,,,,,"black, blue",,,
04e247377c80eb9f6e34c56595d68c95.jpg,a woman sitting on the sidewalk with her camera,,,,,,,,
04e2745901c01dfb922ec164cd1e15ab.jpg,person on the red carpet at the sydney film festival,,,,,red,,,
04f51b3d0b28736139affb4e1feed01c.jpg,a woman in a gray dress walking down the runway,,,,,gray,,runway,
04f6e414deea516f05612aa595c7a65e.jpg,a model walks down the runway at a fashion show,,,,,,,runway,
050462b952d003e868fe647797e20f81.jpg,a woman standing on the stairs of a house,,,,,,,,
053888747fe4d05e64411e7454b10881.jpg,a woman in a black dress walks down the runway,,,,,black,,runway,
05418f9e1940094003b16deb58b3a01d.jpg,a woman in a black coat talking on a cell,,,coat,,black,,,
0544acba02e8776a56fde74f83633c21.jpg,a woman walking down the street with her dog,,,,,,,street,
05488fcc74f81ae452dd55229003f58f.jpg,a model walks the runway at the fashion show,,,,,,,runway,
0548e689638d1e559179b34bc895b72f.jpg,a woman standing on a bridge looking out over the water,,,,,,,,
05571f180bbbaca6d3839ddb0a53f0c2.jpg,a woman in a black dress standing on a stage,,,,,black,,stage,
056bea38b1947154d0613aab63505033.jpg,a model walks the runway at the fashion show,,,,,,,runway,
057ebf774d4173380ce513578bd0f3f6.jpg,a model walks the runway at the fashion show,,,,,,,runway,
058c71bfaebc5d0eb9c2d7285b731560.jpg,a woman in a green dress standing by the water,,,,,green,,,
05ac586e0bd29fdf12a9506bf05b280b.jpg,a woman in a yellow top and black skirt posing for the camera,,skirt,,,"yellow, black",,,
05af199570c00b817102c3cb6834a6e4.jpg,a woman in a beige coat and white pants walking down the street,,pants,coat,,"beige, white",,street,
05b35a8b70fc204bc6e9339bbc613d22.jpg,a woman walking down the runway at a fashion show,,,,,,,runway,
05b3d380777552fde5ecd7d2f59a446c.jpg,a model walks the runway at the fashion show,,,,,,,runway,
05b5e806121325fe0b9879c18f146f39.jpg,a woman walking down the street holding a coffee,,,,,,,street,
05bf5bc41fc3f6e18507faac19298273.jpg,"a woman wearing a black leather jacket, black tights and black boots",,,jacket,boots,black,,,
05bfc7156bc37ce44207ca814f1b3737.jpg,a man standing on a stage with his hands out,,,,,,,stage,
05cbf14e6618b439185c053633831cdf.jpg,a woman wearing a purple and white striped sweater,sweater,,,,"purple, white",,,
05d26dad11c6bca43d37df0c16d91bc9.jpg,a woman in a dress walking down the runway,,,,,,,runway,
05df29d770955d6fe8d7873982aba082.jpg,a woman walking down a runway wearing a black suit,,,,,black,,runway,
05df3749007ec999df0176b9db7c23e3.jpg,a woman walking down the runway in a black and white dress,,,,,"black, white",,runway,
05f4264fb2ef7d7928d8b85522672ec0.jpg,a woman in a suit and tie walking down the street,,,,,,tie,street,
06017096e7f209d3b23802f546830b40.jpg,a woman with green hair standing on a bridge,,,,,green,,,
0617757485dad98ded988c6e101c8bf2.jpg,a man in a hoodie sitting on a wall,hoodie,,,,,,,
0620db3b113984cd1a3a252f7664624a.jpg,a woman in a black dress is walking down the runway,,,,,black,,runway,
063053841bae486b4c35f00d361e0b2e.jpg,a woman walking down the street wearing a black leather jacket,,,jacket,,black,,street,
0634790bec8b79130ea6bdf45e1ba939.jpg,a woman in a white shirt and black coat,shirt,,coat,,"white, black",,,
064c8022b32931e787260d81ed5aafe8.jpg,a model walks the runway at the fashion show,,,,,,,runway,
065fd62a332e15121c5f8713a5bc6bbc.jpg,a woman sitting on a dock next to a boat,,,,,,,,
066cc36daacfc618bc5a70e8ce789fed.jpg,a woman standing on top of a building,,,,,,,,
069223d02dcbfbe69af905daeb7fae26.jpg,person on the red carpet at the sapphire sapphire sapphire sapphire sapphire sapphire sapphire sapphire sapphire sapphire,,,,,red,,,
06c55d20eabb8441eb9b366025cc43ce.jpg,a woman walking down the sidewalk in front of a brick wall,,,,,,,,
06cbcf9a70a67f6f02990ab060e3bf16.jpg,a woman in a white shirt and black shorts,shirt,shorts,,,"white, black",,,
06cc4cc3fd423fb82ce78a63c903cc5b.jpg,a woman standing in front of a white wall,,,,,white,,,
